file,Ad-Aware,AegisLab,AhnLab-V3,Alibaba,ALYac,Antiy-AVL,Arcabit,Avast,Avast-Mobile,AVG,Avira,AVware,Baidu,BitDefender,Bkav,CAT-QuickHeal,ClamAV,CMC,Comodo,CrowdStrike-Falcon,Cybereason,Cylance,Cyren,DrWeb,eGambit,Emsisoft,Endgame,ESET-NOD32,Fortinet,F-Prot,F-Secure,GData,Ikarus,Jiangmin,K7AntiVirus,K7GW,Kaspersky,Kingsoft,Malwarebytes,MAX,McAfee,McAfee-GW-Edition,Microsoft,MicroWorld-eScan,NANO-Antivirus,nProtect,Palo-Alto-Networks,Panda,Qihoo-360,Rising,SentinelOne,Sophos,Sophos-AV,Sophos-ML,SUPERAntiSpyware,Symantec,Symantec-Mobile-Insight,Tencent,TheHacker,TotalDefense,TrendMicro,TrendMicro-HouseCall,Trustlook,VBA32,VIPRE,ViRobot,Webroot,WhiteArmor,Yandex,Zillya,ZoneAlarm,Zoner,
https://www.virustotal.com/file/3c6b238383137e56af73262d7bd698deb2fa41d5ee1cdb7b3325743f4fcb6f8a/analysis/1528148217/,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,N,N,N,1,0,N,1,N,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,N,0,1,0,N,1,N,N,0,1,N,1,0,0,1,1,N,0,0,0,0,N,0,0,0,0,
https://www.virustotal.com/file/527e8cc84cafb2bf0786a15decd66b173f460a4f3346c7f54564b2937dd9fc52/analysis/1528148218/,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,N,N,N,1,0,N,1,N,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,N,0,0,0,N,0,N,N,0,1,N,1,0,1,0,1,N,1,0,0,0,N,0,1,1,0,
https://www.virustotal.com/file/f5366eaba685901740f383394fcf71326798a5dcd207d2074ccbbba6d1cbeac3/analysis/1528148218/,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,N,N,N,1,1,N,1,N,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,N,0,1,0,N,1,N,N,0,1,N,1,0,1,1,1,N,1,0,0,0,N,0,1,1,0,
https://www.virustotal.com/file/4fb70338fe92d84556136170495f8753b450c152aa48ebd39f361184ce5bf5ef/analysis/1528148219/,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,N,N,N,1,1,N,1,N,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,N,0,1,0,N,1,N,N,0,1,N,1,0,0,1,1,N,1,0,0,0,N,0,1,1,0,
https://www.virustotal.com/file/5632b3e74a8b24d96ce94f61e9472f8ef7b999bf297270e44f0ba456bc02575d/analysis/1528148219/,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,N,N,N,1,1,N,1,N,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,N,0,1,0,N,1,N,N,0,1,N,1,0,0,1,1,N,1,0,0,0,N,0,1,1,0,
https://www.virustotal.com/file/1472f2f98ccf8ff0586283fb0503148d1dd6c7953c83654cb6b4020815273538/analysis/1528148219/,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,N,N,N,1,0,N,1,N,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,N,0,1,0,N,1,N,N,0,1,N,1,0,1,1,1,N,1,0,0,0,N,0,1,1,0,
https://www.virustotal.com/file/1e6ab6e9e2b230886c0a477e8c70af69910593cbdf5a2880498989162dc58a98/analysis/1528148220/,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,N,N,N,1,1,N,1,N,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,N,0,1,0,N,1,N,N,0,1,N,1,0,0,1,1,N,0,0,0,0,N,0,0,1,0,
https://www.virustotal.com/file/865288a2d26a349c0c61653f25e36ac28ce3a4c1261303cdcef3ca3dffb3fb1a/analysis/1528148220/,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,N,N,N,1,0,N,1,N,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,N,0,1,0,N,1,N,N,0,1,N,1,0,1,1,1,N,1,0,1,0,N,0,1,1,0,
https://www.virustotal.com/file/649c9cd4cd251a8e413453095953c4a12e112bee30cf41b6351fd2764da91c89/analysis/1528148220/,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,N,N,N,1,0,N,1,N,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,N,0,0,0,N,0,N,N,0,1,N,1,0,0,1,1,N,1,0,0,0,N,0,1,1,0,
https://www.virustotal.com/file/238ed62d3c3c65a2635de5929b67e4db6ae70e0e53fb2ff398ea913cdc334027/analysis/1528148221/,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,N,N,N,1,0,N,1,N,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,N,0,0,0,N,0,N,N,0,1,N,1,0,0,0,1,N,1,0,0,0,N,0,0,1,0,
